Authority_ID,Source,Source_Item,Classification,Current_Operation,Current_Path_or_Boundary,Rationale
HIST-001,HISTORICAL_70_PATH_PLAN,REL-S01::packages/contracts/src/social-relations/relationship-profile-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/relationship-profile-port.ts,Retained A9 requirement.
HIST-002,HISTORICAL_70_PATH_PLAN,REL-S02::packages/contracts/src/social-relations/relationship-edge-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/relationship-edge-port.ts,Retained A9 requirement.
HIST-003,HISTORICAL_70_PATH_PLAN,REL-S02::database/migrations/<next>_a9_social_relations_core.json,CONSOLIDATE_CURRENT,CREATE,database/migrations/0007_a9_investigation_social_runtime.json,One exact 0007; D24/D25 stay separate.
HIST-004,HISTORICAL_70_PATH_PLAN,REL-S03::packages/contracts/src/social-relations/relationship-reveal-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/relationship-reveal-port.ts,Retained A9 requirement.
HIST-005,HISTORICAL_70_PATH_PLAN,REL-S03::packages/contracts/src/visibility-projection/a9-projection-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/visibility-projection/a9-projection-port.ts,D05 placeholder; bounded A9-safe projection.
HIST-006,HISTORICAL_70_PATH_PLAN,REL-S04::apps/client-ui/src/a9/relationships/**,ADOPT_CURRENT,CREATE,apps/client-ui/src/a9/relationships/**,Retained A9 requirement.
HIST-007,HISTORICAL_70_PATH_PLAN,REL-S05::packages/contracts/src/social-relations/bond-leverage-obligation-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/bond-leverage-obligation-port.ts,Retained A9 requirement.
HIST-008,HISTORICAL_70_PATH_PLAN,REL-S06::packages/contracts/src/social-relations/bond-leverage-obligation-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/bond-leverage-obligation-port.ts,Retained A9 requirement.
HIST-009,HISTORICAL_70_PATH_PLAN,REL-S07::packages/contracts/src/social-relations/a9-operation-status-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/a9-operation-status-port.ts,Retained A9 requirement.
HIST-010,HISTORICAL_70_PATH_PLAN,REL-S07::packages/contracts/src/social-relations/a9-pack-lifecycle-port.ts,CONFLICT_REQUIRES_REDESIGN,CREATE,packages/contracts/src/social-relations/a9-source-state-preservation-port.ts,F024 unresolved; source-state preservation only.
HIST-011,HISTORICAL_70_PATH_PLAN,REL-S08::fixtures/domains/social-relations/a9/relationship/**,ADOPT_CURRENT,CREATE,fixtures/domains/social-relations/a9/relationship/**,Retained A9 requirement.
HIST-012,HISTORICAL_70_PATH_PLAN,REL-S08::tests/golden/domains/social-relations/a9/relationship/**,ADOPT_CURRENT,CREATE,tests/golden/domains/social-relations/a9/relationship/**,Retained A9 requirement.
HIST-013,HISTORICAL_70_PATH_PLAN,FRO-S01::packages/contracts/src/social-relations/faction-runtime-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/faction-runtime-port.ts,Retained A9 requirement.
HIST-014,HISTORICAL_70_PATH_PLAN,FRO-S02::packages/contracts/src/social-relations/faction-membership-office-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/faction-membership-office-port.ts,Retained A9 requirement.
HIST-015,HISTORICAL_70_PATH_PLAN,FRO-S03::packages/contracts/src/social-relations/faction-standing-influence-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/faction-standing-influence-port.ts,Retained A9 requirement.
HIST-016,HISTORICAL_70_PATH_PLAN,FRO-S04::packages/contracts/src/social-relations/a9-cross-domain-adapter-registry.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/a9-cross-domain-adapter-registry.ts,Retained A9 requirement.
HIST-017,HISTORICAL_70_PATH_PLAN,FRO-S05::packages/contracts/src/social-relations/faction-agenda-operation-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/faction-agenda-operation-port.ts,Retained A9 requirement.
HIST-018,HISTORICAL_70_PATH_PLAN,FRO-S06::apps/client-ui/src/a9/factions/**,ADOPT_CURRENT,CREATE,apps/client-ui/src/a9/factions/**,Retained A9 requirement.
HIST-019,HISTORICAL_70_PATH_PLAN,FRO-S07::packages/contracts/src/social-relations/a9-history-export-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/a9-history-export-port.ts,Retained A9 requirement.
HIST-020,HISTORICAL_70_PATH_PLAN,FRO-S08::fixtures/domains/social-relations/a9/factions/**,ADOPT_CURRENT,CREATE,fixtures/domains/social-relations/a9/factions/**,Retained A9 requirement.
HIST-021,HISTORICAL_70_PATH_PLAN,FRO-S08::tests/golden/domains/social-relations/a9/factions/**,ADOPT_CURRENT,CREATE,tests/golden/domains/social-relations/a9/factions/**,Retained A9 requirement.
HIST-022,HISTORICAL_70_PATH_PLAN,SOC-S01::packages/contracts/src/social-relations/social-resolution-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/social-resolution-port.ts,Retained A9 requirement.
HIST-023,HISTORICAL_70_PATH_PLAN,SOC-S02::packages/contracts/src/social-relations/social-interaction-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/social-interaction-port.ts,Retained A9 requirement.
HIST-024,HISTORICAL_70_PATH_PLAN,SOC-S02::packages/contracts/src/social-relations/social-truth-state-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/social-truth-state-port.ts,Retained A9 requirement.
HIST-025,HISTORICAL_70_PATH_PLAN,SOC-S03::packages/contracts/src/social-relations/a6-proposal-adapter.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/a6-proposal-adapter.ts,Retained A9 requirement.
HIST-026,HISTORICAL_70_PATH_PLAN,SOC-S04::packages/contracts/src/social-relations/social-resolution-port.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/social-resolution-port.ts,Retained A9 requirement.
HIST-027,HISTORICAL_70_PATH_PLAN,SOC-S05::packages/contracts/src/social-relations/social-outcome-coordinator.ts,ADOPT_CURRENT,CREATE,packages/contracts/src/social-relations/social-outcome-coordinator.ts,Retained A9 requirement.
HIST-028,HISTORICAL_70_PATH_PLAN,SOC-S06::apps/client-ui/src/a9/social/**,ADOPT_CURRENT,CREATE,apps/client-ui/src/a9/social/**,Retained A9 requirement.
