file,role,rows,sha256,file_id,library_path,routes
expanded_melee_weapons_canonical_multigenre_v2.csv,CURRENT_PRIMARY_SOURCE_AUTHORITY,1000,cfe5f95ecc40b8b84068bc9ddb1b374e0349360c852a0c47bedf4df21caddf9f,file_000000008fc881f6b9235da8fd6117fd,/Multiversal Canonical Game Objects/expanded_melee_weapons_canonical_multigenre_v2.csv,ITEM_DEFINITION:weapon
expanded_ranged_weapons_canonical_multigenre_v2.csv,CURRENT_PRIMARY_SOURCE_AUTHORITY,1000,affec9f1a2678326addfa2bbe8394ffdec4cf78154f6a64e8ea6a37c6bb28d71,file_00000000d11c81f6a410773da6515c55,/Multiversal Canonical Game Objects/expanded_ranged_weapons_canonical_multigenre_v2.csv,ITEM_DEFINITION:weapon
expanded_armor_and_shields_all_genres.csv,CURRENT_PRIMARY_SOURCE_AUTHORITY,263,017b38bd4e74be1086722c793b11abbda1e946f0a7c7b0b0c6314f67dd21b7b6,file_00000000d0ac82308fd4d8d6e720230e,,ITEM_DEFINITION:armor;ITEM_DEFINITION:shield
expanded_items_all_genres.csv,CURRENT_PRIMARY_SOURCE_AUTHORITY,761,f67a02a7d36e39f4837dbca4c2b75e3773fe6a0a8de58c278b2703c2b45d5cee,file_0000000043d481fd8b0ffee4ae61551c,,ITEM_DEFINITION:general;ITEM_DEFINITION:container;ITEM_DEFINITION:consumable;ITEM_DEFINITION:tool;ITEM_DEFINITION:device
expanded_magitech_items_all_genres.csv,CURRENT_PRIMARY_SOURCE_AUTHORITY,532,9835233c515f90917d022e540cce221df724320775a8c6fbbc8e0f27c8cd3a55,file_0000000045dc81fdb67079e9833a3a86,,ITEM_DEFINITION:magitech;ITEM_DEFINITION:magic_implement;ITEM_DEFINITION:weapon;ITEM_DEFINITION:device
expanded_concoctions_and_charge_items_all_genres.csv,CURRENT_PRIMARY_SOURCE_AUTHORITY,465,2f92a38873cb297ffac18bc263cd2ffd0deb74e327c619876882adfe9014dc37,file_0000000020f881fda7476c2df60b6d18,,ITEM_DEFINITION:consumable;ITEM_DEFINITION:medicine;ITEM_DEFINITION:toxin;ITEM_DEFINITION:charge_item
expanded_eva_suits_and_modules_all_genres.csv,CURRENT_PRIMARY_SOURCE_AUTHORITY,430,e81d19f521d956a4955e418a9701db761a781911fd697c5b92fcde3ad61512b1,file_00000000b34081f78444321bb30ab938,,ITEM_DEFINITION:eva_suit;ITEM_DEFINITION:module
expanded_symbiotes_and_cybernetics_all_genres.csv,CURRENT_PRIMARY_SOURCE_AUTHORITY,572,37af1a950d1f7642c65c00475a96545b70225622c8b2c86f9f399b585e57d8a2,file_00000000d3648230bd1c31e0c9cc3124,,ITEM_DEFINITION:symbiote;ITEM_DEFINITION:implant;ITEM_DEFINITION:cybernetic_modification
expanded_bases_facilities_materials_and_homesteads_all_genres.csv,CURRENT_PRIMARY_SOURCE_AUTHORITY,1080,bfc80daf90be3f6b1f28e484cccc8333bb25bdc7fa66eb935e54e2b5f7c283cb,file_0000000092548230a98e815c44cbd752,,MIXED_OBJECT:facility;MIXED_OBJECT:base;ITEM_DEFINITION:material;MIXED_OBJECT:homestead
expanded_computers_all_genres.csv,CURRENT_PRIMARY_SOURCE_AUTHORITY,1000,ec20b7ba6967a8c0533f6ca2ccf6f46b9bb72151ba3d3723432c4b6cdbfeee9d,file_00000000dd2481fdbc96f118950e81b3,,ITEM_DEFINITION:computer;ITEM_DEFINITION:software;ITEM_DEFINITION:module
