source_file,source_row_number,source_name,source_note_state,current_definition_relation,current_definition_id,provenance_source_id,provenance_source_title,provenance_anchor,resolution_basis,v0_12_taxonomy_status
Weapons_Ammo.csv,2,Shortbow,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.shortbow,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Shortbow,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,3,Longbow,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.longbow,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Longbow,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,4,Hand Crossbow,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.hand-crossbow,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Hand Crossbow,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,5,Heavy Crossbow,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.heavy-crossbow,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Heavy Crossbow,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,6,Pistol,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.pistol,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Pistol,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,7,Musket,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.musket,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Musket,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,8,Blunderbuss,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.blunderbuss,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Blunderbuss,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,9,Revolver,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.revolver,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Revolver,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,10,Shotgun,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.shotgun,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Shotgun,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,11,Sniper Rifle,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.sniper-rifle,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Sniper Rifle,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,12,Assault Rifle,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.assault-rifle,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Assault Rifle,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,13,Submachine Gun,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.submachine-gun,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Submachine Gun,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,14,Light Machine Gun,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.light-machine-gun,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Light Machine Gun,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,15,Heavy Machine Gun,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.heavy-machine-gun,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Heavy Machine Gun,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,16,Flamethrower,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.flamethrower,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Flamethrower,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,17,Rocket Launcher,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon.rocket-launcher,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Rocket Launcher,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,18,Hand Cannon,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.hand-cannon,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Hand Cannon,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,19,Grenade,recovered_from_8E008G,current_definition_linked,mv.core.item.explosive.grenade,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Grenade,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,20,Harpoon Gun,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.harpoon-gun,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Harpoon Gun,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,21,Gatling Gun,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.gatling-gun,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2821: Gatling Gun,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,22,Chainsaw Bayonet Assault Rifle (Ranged),source_note_present,mode_reference_review,mv.core.item.weapon_melee.chainsaw-bayonet,mv.source.table.melee-weapons-stats-csv,Melee_Weapons_Stats.csv,row 14 / ranged mode reference,source mode evidence requires review; do not collapse modes automatically,not_projected
Weapons_Ammo.csv,23,Chainsaw Bayonet Assault Rifle (Melee),source_note_present,mode_reference_review,mv.core.item.weapon_melee.chainsaw-bayonet,mv.source.table.melee-weapons-stats-csv,Melee_Weapons_Stats.csv,row 14 / melee mode reference,source mode evidence requires review; do not collapse modes automatically,not_projected
Weapons_Ammo.csv,24,Laser Pistol,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon_ranged.laser-pistol,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2822: Laser Pistol,exact 8E-008G item-definition occurrence,not_projected
Weapons_Ammo.csv,25,Laser Rifle,recovered_from_8E008G,current_definition_linked,mv.core.item.weapon.laser-rifle,mv.source.mv-prefinal.items,mvPreFinal.pdf,physical page 2822: Laser Rifle,exact 8E-008G item-definition occurrence,not_projected
